Product_Name,Product_Price,RAMGB,Storage_Capacity_GB,Storage_Type
Apple MacBook Air 15 M3,5999,16,256.0,SSD
Apple MacBook Air 15 M3,5999,8,256.0,SSD
Apple MacBook Air 13 M2 Retina,4499,16,256.0,SSD
Apple MacBook Air 13 M2 Retina,5699,8,512.0,SSD
Microsoft Surface  7,6299,16,512.0,SSD
Apple MacBook Air 13 M2 Retina,4499,16,256.0,SSD
Apple MacBook Air 13 M3,7099,16,512.0,SSD
Apple MacBook Air 13 M3,7099,24,512.0,SSD
Apple MacBook Pro 13 M2 Retina + Touch Bar,5249,8,256.0,SSD
Renewed Grade A Apple MacBook Pro 16 M3 Pro Retina XDR,9899,18,512.0,SSD
Apple MacBook Air 13 M3,5199,16,256.0,SSD
Apple MacBook Air 13 M3,7099,24,512.0,SSD
Apple MacBook Air 13 M3,5199,8,256.0,SSD
Apple MacBook Air 13 M3,7099,16,512.0,SSD
Apple MacBook Air 15 M3,7899,24,512.0,SSD
Apple MacBook Air 13 M3,6199,8,512.0,SSD
Apple MacBook Air 15 M3,7899,16,512.0,SSD
Apple MacBook Air 13 M2 Retina,4499,16,256.0,SSD
Microsoft Surface  7,6299,16,512.0,SSD
Apple MacBook Air 15 M3,5999,16,256.0,SSD
Apple MacBook Pro 16 M4 Pro Retina XDR,11499,24,512.0,SSD
Apple MacBook Air 13 M3,7099,24,512.0,SSD
Apple MacBook Air 13 M3,6199,8,512.0,SSD
Renewed Grade A Apple MacBook Air 13 M3,4499,16,512.0,SSD
Microsoft Surface  7,4699,16,256.0,SSD
Apple MacBook Air 15 M3,7899,24,512.0,SSD
Apple MacBook Air 15 M2,6799,8,512.0,SSD
Apple MacBook Air 15 M3,5999,8,256.0,SSD
Apple MacBook Air 15 M3,5999,8,256.0,SSD
Apple MacBook Pro 14 M3 Pro Retina XDR,9499,18,512.0,SSD
Apple MacBook Pro 14 M2 Pro Retina XDR,8399,16,512.0,SSD
Apple MacBook Air 13 M2 Retina,4499,16,256.0,SSD
Apple MacBook Air 15 M2,5199,8,256.0,SSD
Microsoft Surface  7,6799,16,512.0,SSD
Apple MacBook Air 15 M3,6999,8,512.0,SSD
Apple MacBook Air 13 M3,7099,24,512.0,SSD
Apple MacBook Pro 16 M4 Pro Retina XDR,11499,24,512.0,SSD
Apple MacBook Pro 14 M4 Pro Retina XDR,9499,24,512.0,SSD
Apple MacBook Air 13 M3,5199,8,256.0,SSD
Apple MacBook Pro 14 M4 Retina XDR,7499,16,512.0,SSD
Apple MacBook Air 13 M3,5199,16,256.0,SSD
Apple MacBook Pro 14 M4 Pro Retina XDR,9499,24,512.0,SSD
Apple MacBook Air 15 M3,7899,24,512.0,SSD
Apple MacBook Air 13 M3,7099,16,512.0,SSD
Apple MacBook Air 13 M3,5199,16,256.0,SSD
Apple MacBook Air 13 M3,5199,8,256.0,SSD
Apple MacBook Air 15 M3,5999,16,256.0,SSD
Apple MacBook Air 15 M3,7899,16,512.0,SSD
Apple MacBook Air 15 M2,5799,8,256.0,SSD
Apple MacBook Pro 14 M3 Retina XDR,6899,8,512.0,SSD
Apple MacBook Pro 16 M3 Pro Retina XDR,10899,18,512.0,SSD
Apple MacBook Air 13 M3,6199,8,512.0,SSD
Microsoft Surface  7,6299,16,512.0,SSD
Renewed Grade B Apple MacBook Pro 14 M2 Pro Retina XDR,6499,16,512.0,SSD
Apple MacBook Air 15 M3,6999,8,512.0,SSD
Apple MacBook Air 15 M3,7899,24,512.0,SSD
Apple MacBook Air 13 M2 Retina,5699,8,512.0,SSD
Apple MacBook Pro 14 M3 Retina XDR,6899,8,512.0,SSD
Apple MacBook Pro 14 M4 Retina XDR,7499,16,512.0,SSD
Apple MacBook Air 15 M3,5999,16,256.0,SSD
Apple MacBook Air 13 M3,5199,8,256.0,SSD
Apple MacBook Air 13 M2 Retina,5699,8,512.0,SSD
Apple MacBook Air 15 M2,5999,8,512.0,SSD
Apple MacBook Air 13 M3,5199,16,256.0,SSD
Apple MacBook Air 15 M2,5799,8,256.0,SSD
Microsoft Surface Pro 9,6799,16,512.0,SSD M.2
HP Elite Dragonfly G3,6999,16,512.0,SSD M.2
Apple MacBook Pro M3,7199,8,512.0,SSD
ThinkPad E15 Gen 4,7199,8,512.0,SSD
Lenovo Yoga 7 14IRL8,4399,16,512.0,SSD M.2
Microsoft Surface Studio,4999,16,256.0,SSD
