Product Title,Product Price,Warranty Period (Months),Accesorises warranty,Warranted by,SKU,Manufacturer Number,processor type,NPU (Neural Processing Unit),AI (Artificial Intelligence),display type,graphics card,display size,operating system,product type,model/chipset number,model series,generation/release,color,operating system architecture,processor speed,capacity,RAM,connectivity technology,ports,touch display,display resolution,cam resolution,multimedia features,special features,fingerprint,battery type,width,height/length,depth,weight,card reader,Shipping Weight (kg),Renewed Grade,Renewed Remarks
Huawei MateBook 14 Laptop,"4,299",24,12 Months,Manufacturer,638525,53014ASK,Intel Core Ultra 5 125H,Intel AI Boost,Yes,OLED Display,Intel Arc Graphics,"14.2""",Windows 11 Home,Laptop,W5611T,Huawei MateBook,2024,Space Grey,64 bit,P-core: 1.2 - 4.5 GHz/E-core: 0.7 - 3.6 GHz,1 TB M.2 NVMe PCIe 4.0 SSD,16 GB RAM,Wi-Fi (6)/Bluetooth (5.1),HDMI 1.4/USB 3.2/USB-C/Audio Combo Port,Yes,2880 X 1920,FHD (2 MP) Webcam,Built-in Mic/Speakers,Full Size Keyboard,Yes,Lithium Polymer (Li-Po),312.60 mm ( 12.31 in ),226.80 mm ( 8.93 in ),15.90 mm ( .63 in ),1.31 kg ( 2.89 lb ),,,,
Apple MacBook Air 15 M3 Laptop,"5,999",24,12 Months,Manufacturer,646475,MC9D4ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Sequoia,Laptop,,Apple MacBook Air,2024,Space Grey,,,256 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
Apple MacBook Air 15 M3 Laptop,"5,999",24,12 Months,Manufacturer,632673,MRYR3ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Sonoma,Laptop,,Apple MacBook Air,2024,Starlight,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
Asus Laptop,"3,799",24,12 Months,Manufacturer,642879,UM3406OLEDR7W,AMD Ryzen 7-8840HS,AMD XDNA up to 16 TOPS,Yes,WUXGA-OLED 400N,AMD Radeon Graphics,"14""",Windows 11,Laptop,UX3402YA,Asus ZenBook,2023,Jade Black,64 bit,2.0 GHz,1 TB M.2 NVMe PCIe 4.0 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C/Audio Combo Port,,1920 X 1200 (WUXGA),1080P FHD Camera,Harman Kardon,Backlit Chiclet Keyboard,Yes,Lithium Ion (Li-Ion) - 4 Cell,32.24 cm ( 12.69 in ),22.01 cm ( 8.67 in ),1.49 cm ( .59 in ),1.20 kg ( 2.65 lb ),Yes,,,
Microsoft Surface Laptop 7 Laptop,"9,699",24,Not Applicable,JARIR,639206,ZHI00014,Snapdragon X Elite 12 Core,Qualcomm Hexagon NPU 45 TOPS,Yes,PixelSense Flow,Qualcomm Adreno GPU,"15""",Windows 11 Home,Laptop,ZHI-00014,Microsoft Surface Laptop 7,2024,Black,,3.4 GHz,1 TB SSD,32 GB RAM,Wi-Fi (7)/Bluetooth (5.4),USB-C/USB 3.1/Surface Connect/3.5 mm Connector,Yes,2496 x 1664,1080P FHD Camera,,CoPilot+,,Lithium Ion (Li-Ion) - 6 Cell,32.90 cm ( 12.95 in ),23.90 cm ( 9.41 in ),1.80 cm ( .71 in ),1.60 kg ( 3.53 lb ),,,,
Asus Zenbook 14 OLED Laptop,"4,799",24,12 Months,Manufacturer,630284,UX3405MOLED9W,Intel Core Ultra 9 185H,Intel AI Boost,Yes,3K OLED 120 Hz,Intel Arc Graphics,"14""",Windows 11 Home,Laptop,UX3405MA-OLED9W,Asus ZenBook,2024,Ponder Blue,64 bit,2.3 GHz,1 TB M.2 NVMe PCIe 4.0 SSD,16 GB RAM,Wi-Fi (6E)/Bluetooth (5.3),HDMI 2.1/USB 3.2/Thunderbolt 4/3.5mm Audio Combo Port,,2880 X 1800 (OLED),FHD IR Camera with Privacy Shutter,"Harman Kardon(Premium)/Smart Amp Technology, Built-in Speaker and Microphone","Backlit Chiclet Keyboard,0.2ms Response Time",,Lithium Ion (Li-Ion) - 4 Cell,31.24 cm ( 12.30 in ),22.01 cm ( 8.67 in ),1.49 cm ( .59 in ),.91 kg ( 2.01 lb ),,,,
Asus Zenbook 14 OLED Laptop,"3,599",24,12 Months,Manufacturer,620524,UX3402YOLED4W,AMD Ryzen 7-7730U,,,2.8K OLED SGS Eye Care Display,AMD Radeon Graphics,"14""",Windows 11,Laptop,UX3402YA,Asus ZenBook,2023,Jade Black,64 bit,2.0 GHz,1 TB M.2 NVMe PCIe 3.0 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C/Audio Combo Port,,2880 X 1800 (OLED),1080P FHD Camera,Harman Kardon,Backlit Chiclet Keyboard,Yes,Lithium Ion (Li-Ion) - 4 Cell,31.36 cm ( 12.35 in ),22.06 cm ( 8.69 in ),1.69 cm ( .67 in ),1.39 kg ( 3.06 lb ),Yes,,,
Apple MacBook Air 13 M1 Retina Laptop,"2,999",24,12 Months,Manufacturer,558437,MGN63ABA,M1 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Retina Display,7-core GPU,"13.3""",macOS Big Sur,Laptop,,Apple MacBook Air,2020,Space Grey,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,USB-C (Thunderbolt 3),,2560 X 1600 (WQXGA),720p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Ion Polymer (Li-Poly),30.41 cm ( 11.97 in ),21.24 cm ( 8.36 in ),1.61 cm ( .63 in ),1.29 kg ( 2.84 lb ),,2.43,,
HP Pavilion Laptop,"4,499",24,12 Months,Manufacturer,641160,B10Q2EAA2N,Intel Core Ultra 7 155U,Intel AI Boost,Yes,WUXGA IPS Anti-glare 300N Display,Intel Graphics,"16""",Windows 11 Home,Laptop,16-af0002nx,HP Pavilion,2024,Sky Blue,64 bit,1.7 GHz,1 TB PCIe Gen4,16 GB RAM,Wi-Fi/Bluetooth,,,1920 X 1200,1080P FHD Camera,,,,Lithium Ion (Li-Ion),,,,1.77 kg ( 3.90 lb ),,,,
MSI Modern 14 Laptop,"2,799",24,12 Months,Agent,645334,9S714S122214,Intel Core i7-1355U (13th Gen),,,FHD IPS 60 Hz Display,Intel Iris Xe Graphics,"14""",Windows 11,Laptop,F13MG,MSI Modern,2024,Urban Silver,64 bit,P-core: 1.7 - 5.0 GHz/E-core: 1.2 - 3.7 GHz,512 GB NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (DisplayPort)/RJ-45,,1920 X 1080 (FHD),HD Webcam,Built-in Speakers/Mic,,Yes,Lithium Ion (Li-Ion) - 3 Cell,32.39 cm ( 12.75 in ),21.72 cm ( 8.55 in ),1.99 cm ( .78 in ),1.50 kg ( 3.31 lb ),Yes,,,
