Product_Name,Product_Price,Warranty_Period(Months),Processor_Type,Screen_Size(inch),Operating_System,Color,Storage_Capacity,RAMGB,Touch_Display,Battery_Type,Storage_Type,Storage_Capacity_GB,Pixels_Width,Pixels_Height,Processor_Type_encoded,Operating_System_encoded,Color_encoded,Battery_Type_encoded,Storage_Type_encoded,kmeans
Huawei MateBook 14,4299,24.0,Intel Core Ultra 5 125H,14.2,Windows 11 Home,Space Grey,1 TB M.2 NVMe PCIe 4.0 SSD,16,True,Lithium Polymer (Li-Po),M.2 NVMe PCIe 4.0 SSD,1024.0,2880,1920,25,6,64,51,4,2
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sequoia,Space Grey,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,89,11,64,51,13,3
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sonoma,Starlight,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,89,12,66,51,13,3
Asus,3799,24.0,AMD Ryzen 7-8840HS,14.0,Windows 11,Jade Black,1 TB M.2 NVMe PCIe 4.0 SSD,16,False,Lithium Ion (Li-Ion) - 4 Cell,M.2 NVMe PCIe 4.0 SSD,1024.0,1920,1200,15,4,31,43,4,2
Microsoft Surface  7,9699,24.0,Snapdragon X Elite 12 Core,15.0,Windows 11 Home,Black,1 TB SSD,32,True,Lithium Ion (Li-Ion) - 6 Cell,SSD,1024.0,2496,1664,99,6,5,44,13,1
Asus Zenbook 14 OLED,4799,24.0,Intel Core Ultra 9 185H,14.0,Windows 11 Home,Ponder Blue,1 TB M.2 NVMe PCIe 4.0 SSD,16,False,Lithium Ion (Li-Ion) - 4 Cell,M.2 NVMe PCIe 4.0 SSD,1024.0,2880,1800,35,6,52,43,4,2
Asus Zenbook 14 OLED,3599,24.0,AMD Ryzen 7-7730U,14.0,Windows 11,Jade Black,1 TB M.2 NVMe PCIe 3.0 SSD,16,False,Lithium Ion (Li-Ion) - 4 Cell,M.2 NVMe PCIe 3.0 SSD,1024.0,2880,1800,12,4,31,43,3,2
Apple MacBook Air 13 M1 Retina,2999,24.0,M1 8-core CPU 16-core Neural Engine,13.3,macOS Big Sur,Space Grey,256 GB SSD,8,False,Lithium Ion Polymer (Li-Poly),SSD,256.0,2560,1600,85,9,64,48,13,0
HP Pavilion,4499,24.0,Intel Core Ultra 7 155U,16.0,Windows 11 Home,Sky Blue,1 TB PCIe Gen4,16,False,Lithium Ion (Li-Ion),PCIe Gen4,1024.0,1920,1200,31,6,59,41,10,1
MSI Modern 14,2799,24.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11,Urban Silver,512 GB NVMe M.2 SSD,16,False,Lithium Ion (Li-Ion) - 3 Cell,NVMe M.2 SSD,512.0,1920,1080,70,4,75,42,6,2
HP Pavilion Plus 14-ew1009nx,3799,24.0,Intel Core Ultra 5 125H,14.0,Windows 11 Home,Natural Silver,512 GB PCIe Gen 4 NVMe M.2 SSD,16,False,Lithium Ion Polymer (Li-Poly) - 4 Cell,PCIe Gen 4 NVMe M.2 SSD,512.0,2880,1800,25,6,43,50,9,2
